id,hospital_name,lat,lng
1,Thomas Jefferson University Hospital,39.94936,-75.158064
2,Reading Hospital,40.330992,-75.951401
3,Phoenixville Hospital,40.123033,-75.515591
4,Pottstown Hospital,40.242815,-75.6126
5,Brandywine Medical Campus,40.009846,-75.786086
6,Jefferson Torresdale Hospital,40.0706,-74.983467
7,Einstein Medical Center Montgomery,40.152864,-75.342633
8,Jefferson Washington Square Urgent Care,39.948006,-75.153408
9,Johnston-Willis Hospital,37.509601,-77.594605
10,Chippenham Hospital,37.512989,-77.526959
