id,station_name,lat,lng
1,Gloucester County EMS Station 83-1,39.84533,-75.147514
2,Elverson Station,40.154757,-75.846037
3,Honey Brook Station,40.09453,-75.913276
4,Lancaster EMS Station 56-5,39.890914,-76.158242
5,Northern Berks EMS Station 2,40.437748,-75.883795
6,Bethlehem EMS Station 2,40.641287,-75.37428
7,Gloucester County EMS Station 82-6,39.781022,-75.168896
8,Plymouth Ambulance Station A Norristown,40.113297,-75.341313
9,Lancaster EMS East Station,40.03535,76.254387
10,Reinholds Community Ambulance - Station 09,40.267062,-76.115181
11,Plymouth Ambulance Station C,40.272578,-75.461352
12,New Holland Ambulance - Station 37,40.101379,-76.088164
13,Central Bucks EMS - Medic 174,40.204648,-75.099028
14,Good Fellowship Ambulance - West Station,39.969886,-75.666876
15,Tri-Hampton Rescue Squad - Station 115,40.211379,-75.008731
16,Claymont Fire Co EMS Station,39.822505,-75.486518
